"peripheral name","peripheral address","time since the scan start at: 19:01:51.720","RSSI value [dB]"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.064","-55"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.112","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.159","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.203","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.243","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.383","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.434","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.480","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.525","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.660","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.755","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.803","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","0.896","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.079","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.167","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.214","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.259","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.311","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.447","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.485","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.534","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.582","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.628","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.671","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.719","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.762","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.813","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.911","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","1.962","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.094","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.184","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.233","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.276","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.320","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.363","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.451","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.493","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.537","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.583","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.718","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.765","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.812","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.862","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","2.910","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.040","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.081","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.129","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.220","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.289","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.311","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.357","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.407","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.446","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.487","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.528","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.614","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.706","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.803","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.895","-53"
"ble_beacon6","E4:65:B8:DA:4A:C6","3.936","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.022","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.071","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.165","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.206","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.293","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.381","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.421","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.470","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.648","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.785","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.836","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.873","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","4.963","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","5.010","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","5.064","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","5.103","-47"
"ble_beacon6","E4:65:B8:DA:4A:C6","5.189","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","5.278","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","5.465","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","5.601","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","5.650","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","5.697","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","5.734","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","5.924","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","5.964","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.006","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.052","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.094","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.180","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.227","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.267","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.536","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.577","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.625","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.709","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.758","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.797","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.842","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","6.932","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","7.022","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","7.068","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","7.118","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","7.246","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","7.292","-46"
"ble_beacon6","E4:65:B8:DA:4A:C6","7.501","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","7.544","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","7.628","-45"
"ble_beacon6","E4:65:B8:DA:4A:C6","7.672","-45"
