"peripheral name","peripheral address","time since the scan start at: 18:34:01.901","RSSI value [dB]"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.026","-52"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.111","-54"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.152","-54"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.376","-70"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.603","-61"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.744","-54"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.837","-54"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.930","-62"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.979","-63"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.075","-60"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.118","-61"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.208","-60"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.298","-54"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.556","-61"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.601","-60"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.643","-58"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.694","-55"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.742","-55"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.782","-55"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.054","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.100","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.199","-58"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.242","-60"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.286","-60"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.328","-60"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.595","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.640","-54"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.688","-54"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.777","-60"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.913","-59"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.957","-59"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.051","-59"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.132","-55"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.176","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.222","-56"
