"peripheral name","peripheral address","time since the scan start at: 18:28:06.929","RSSI value [dB]"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.040","-46"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.082","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.265","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.311","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.353","-54"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.443","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.486","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.575","-48"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.618","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.665","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.709","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.710","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.761","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.845","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.939","-45"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.073","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.163","-48"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.204","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.327","-54"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.611","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.650","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.702","-48"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.793","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.835","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.884","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.934","-45"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.115","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.156","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.249","-48"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.345","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.430","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.563","-45"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.819","-47"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.957","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.043","-46"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.091","-45"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.135","-46"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.220","-48"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.264","-48"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.355","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.396","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.447","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.493","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.635","-45"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.682","-46"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.723","-48"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.766","-48"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.810","-48"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.855","-48"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.949","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.998","-52"
