"peripheral name","peripheral address","time since the scan start at: 16:20:35.016","RSSI value [dB]"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.020","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.288","-48"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.336","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.383","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.427","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.519","-48"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.789","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.838","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.969","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.012","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.102","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.151","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.561","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.609","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.010","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.058","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.100","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.150","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.193","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.244","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.286","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.461","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.554","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.598","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.648","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.744","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.823","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.010","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.126","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.145","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.240","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.367","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.503","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.631","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.724","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.767","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.901","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.126","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.169","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.309","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.350","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.435","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.530","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.578","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.578","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.622","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.669","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.759","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.887","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.977","-52"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.017","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.103","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.148","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.235","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.316","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.408","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.459","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.559","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.604","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.689","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.733","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.782","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.822","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.865","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.054","-48"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.106","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.154","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.194","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.241","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.332","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.566","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.609","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.691","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.694","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.735","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.863","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.043","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.089","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.134","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.230","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.315","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.402","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.532","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.575","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.704","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.749","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.847","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.889","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.976","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.158","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.198","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.334","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.379","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.422","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.556","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.605","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.699","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.833","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.966","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","9.144","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","9.186","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","9.228","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","9.270","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","9.367","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","9.414","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","9.677","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","9.717","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","9.761","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","9.809","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","9.952","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","9.953","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","10.077","-51"
