"peripheral name","peripheral address","time since the scan start at: 16:32:13.966","RSSI value [dB]"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.024","-54"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.070","-54"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.309","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.453","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.497","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.539","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.581","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.663","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.713","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.809","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.850","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.900","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.948","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.995","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.044","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.090","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.138","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.239","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.279","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.369","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.418","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.460","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.551","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.899","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.946","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.090","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.213","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.306","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.355","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.580","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.842","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.883","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.925","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.967","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.051","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.091","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.178","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.268","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.358","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.448","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.492","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.538","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.582","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.626","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.667","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.714","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.796","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.939","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.981","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.118","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.261","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.387","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.525","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.624","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.717","-50"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.847","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.938","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.978","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.022","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.063","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.103","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.146","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.188","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.239","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.493","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.538","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.680","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.723","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.817","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.863","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.904","-51"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.131","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.272","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.355","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.402","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.543","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.635","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.684","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.778","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.947","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.988","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.041","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.176","-51"
