"peripheral name","peripheral address","time since the scan start at: 14:29:12.031","RSSI value [dB]"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.052","-65"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.283","-62"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.411","-62"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.597","-54"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.824","-65"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.868","-62"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.913","-62"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.964","-62"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.012","-62"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.060","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.102","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.151","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.193","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.243","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.324","-62"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.598","-64"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.696","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.824","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.875","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.328","-66"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.553","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.594","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.636","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.684","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.778","-63"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.919","-64"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.104","-61"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.189","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.236","-52"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.324","-53"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.411","-60"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.726","-64"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.772","-63"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.862","-53"
