"peripheral name","peripheral address","time since the scan start at: 14:53:14.628","RSSI value [dB]"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.058","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.115","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.462","-55"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.509","-55"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.641","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.774","-60"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.911","-63"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","0.995","-66"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.256","-61"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.475","-57"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.779","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.827","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","1.871","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.099","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.142","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.319","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.408","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.721","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.763","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.900","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","2.940","-54"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.079","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.223","-73"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.268","-75"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.361","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.403","-52"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","3.533","-60"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.047","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.095","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.229","-55"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.272","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.318","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.516","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.607","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","4.860","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.134","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.179","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.338","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.433","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.481","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.707","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.751","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","5.894","-54"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.023","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.067","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.108","-74"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.426","-54"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.648","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.690","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.866","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","6.912","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.008","-53"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.096","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.227","-58"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.485","-54"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.578","-54"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.622","-54"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","7.667","-59"
"BLEBeacon14_esp","94:B9:7E:E6:7A:72","8.128","-54"
