"peripheral name","peripheral address","time since the scan start at: 14:41:34.872","RSSI value [dB]"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.060","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.107","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.149","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.199","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.290","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.333","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.382","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.470","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.560","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.608","-49"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.645","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.693","-57"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.735","-57"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.781","-58"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","0.908","-52"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.004","-52"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.099","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.144","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.369","-57"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.413","-57"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.644","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.687","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.779","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","1.899","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.044","-55"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.135","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.184","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.280","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.373","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.421","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.557","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.604","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.818","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.858","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.907","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","2.951","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.000","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.095","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.135","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.136","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.332","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.605","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.654","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.795","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.841","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","3.971","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.202","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.294","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.382","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.647","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.735","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.869","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.913","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","4.958","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.006","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.136","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.226","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.266","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.360","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.401","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.486","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.575","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.618","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.659","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.705","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.745","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","5.977","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.202","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.292","-55"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.474","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.607","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.703","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.789","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.877","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.918","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","6.957","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.095","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.138","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.179","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.226","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.316","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.526","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.609","-56"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.658","-57"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.697","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.784","-50"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","7.918","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.125","-57"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.170","-57"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.214","-58"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.263","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.305","-52"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.398","-52"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.444","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.535","-51"
"BLEBeacon9_esp","9C:9C:1F:C5:52:96","8.624","-51"
