"peripheral name","peripheral address","time since the scan start at: 16:19:24.954","RSSI value [dB]"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-606.910","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-606.496","-55"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-606.086","-59"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-605.873","-57"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-605.761","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-605.557","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-605.457","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-605.356","-51"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-605.249","-51"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-604.934","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-604.202","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-603.988","-51"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-603.675","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-603.565","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-603.355","-51"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-603.036","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-602.928","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-602.719","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-602.296","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-601.771","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-601.451","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-601.134","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-600.822","-51"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-600.301","-57"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-599.037","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-598.725","-68"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-597.776","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-597.562","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-597.453","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-597.041","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-596.826","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-596.723","-68"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-596.512","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-596.407","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-596.082","-66"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-595.563","-49"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-595.133","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-595.024","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-594.919","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-594.700","-65"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-594.588","-49"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-594.489","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-594.385","-51"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-594.279","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-594.174","-67"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-593.855","-49"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-593.650","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-593.546","-65"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-593.334","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-593.236","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-593.126","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-592.185","-65"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-591.974","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-591.767","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-591.345","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-591.136","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-590.931","-67"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-590.720","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-590.201","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-590.100","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-589.566","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-589.461","-49"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-589.359","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-589.047","-72"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-588.939","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-588.518","-67"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-588.307","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-588.199","-49"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-588.097","-51"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-587.574","-51"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-587.368","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-587.259","-63"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-587.056","-53"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-586.948","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-586.737","-62"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-586.423","-64"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-586.315","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-586.206","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-586.098","-64"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-585.991","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-585.887","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-585.786","-64"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-585.469","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-585.263","-55"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-585.160","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-584.735","-66"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-584.634","-55"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-584.531","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-584.212","-55"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-584.103","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-583.886","-55"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-583.575","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-583.468","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-583.365","-67"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-583.052","-66"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-582.431","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-582.218","-55"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-582.113","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-582.007","-64"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-581.903","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-581.803","-51"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-581.703","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-581.491","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-581.394","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-581.083","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-580.982","-65"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-580.878","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-580.767","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-580.558","-65"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-580.238","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-580.132","-49"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-580.020","-66"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-579.500","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-578.977","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-578.871","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-578.250","-50"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-578.143","-67"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-578.038","-66"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-577.933","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-577.623","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-577.518","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-577.406","-64"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-577.299","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-576.876","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-576.666","-51"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-576.565","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-576.464","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-576.150","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-575.938","-55"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-575.839","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-575.622","-55"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-575.311","-64"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-575.207","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-575.106","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-574.875","-55"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-574.784","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-574.575","-55"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-574.470","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-574.040","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-573.832","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-573.730","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-573.515","-55"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-573.408","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-573.302","-64"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-573.192","-54"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-573.089","-52"
"BLEBeacon12_cc2562","66:61:54:56:73:08","-572.767","-54"
